HASHID,Version,Storage,Wells,Drains
6d6c5bf1fd9529e99982a8117506baa5,TRold96,8877257728,2113587456,20517750784
71dc61df2e5e58f85437008ea8030e36,TRBAR96,8253982208,2132446592,20677335040
71dc61df2e5e58f85437008ea8030e36,TRMAC96,11542807552,2132451456,33112967168
71dc61df2e5e58f85437008ea8030e36,TRNAT96,11500063744,2132451456,32079534080
71dc61df2e5e58f85437008ea8030e36,TRold96,8873553920,2076610688,20550027264
73941b4f69de2922bcb18e4f3fea2182,TRBAR96,8242027008,2369120512,20451434496
73941b4f69de2922bcb18e4f3fea2182,TRMAC96,11541336064,2369137408,32890552320
73941b4f69de2922bcb18e4f3fea2182,TRNAT96,11498823680,2369137408,31860649984
73941b4f69de2922bcb18e4f3fea2182,TRold96,8879185920,2312860672,20329496576
79c787c63034bce10b4749c77595fe42,TRBAR96,8252549120,2121947008,20684980224
79c787c63034bce10b4749c77595fe42,TRMAC96,11542498304,2121953792,33122557952
79c787c63034bce10b4749c77595fe42,TRNAT96,11499492352,2121953792,32090777600
79c787c63034bce10b4749c77595fe42,TRold96,8921156608,2118665344,20541511680
7a4cc658938c2cb4b2504287b7d3a3f2,TRBAR96,8254943744,2288088832,20525279232
7a4cc658938c2cb4b2504287b7d3a3f2,TRMAC96,11543706624,2352178432,32900528128
7a4cc658938c2cb4b2504287b7d3a3f2,TRNAT96,11500875776,2352178432,31868846080
7a4cc658938c2cb4b2504287b7d3a3f2,TRold96,8875447296,2282344704,20354639872
7b2f5c338a2c658b51b407743db4ec1c,TRBAR96,8253837824,2131578880,20677253120
7b2f5c338a2c658b51b407743db4ec1c,TRMAC96,11543259136,2131585408,33112184832
7b2f5c338a2c658b51b407743db4ec1c,TRNAT96,11500127232,2131585408,32079867904
7b2f5c338a2c658b51b407743db4ec1c,TRold96,8875312128,2075707008,20545738752
8193d993cb436de57e2dc6d02fc8f0f4,TRBAR96,8254746112,2392454912,20438593536
8193d993cb436de57e2dc6d02fc8f0f4,TRMAC96,11542366208,2392461824,32866623488
8193d993cb436de57e2dc6d02fc8f0f4,TRNAT96,11499797504,2392461824,31836643328
